title,latitude,longitude,description
Maryland  Memorial,40.65821607,-73.96975772,
Topiary: A Twenty-Year Project,40.66493417,-73.96450933,
Mowgli Is Carried by the Monkeys,40.66581748,-73.96450674,
"The Bear, Panther, Snake and Kite Pursuing the Monkey Tribe",40.66578226,-73.96451893,
Mowgli Protected from the Tiger by the Wolves,40.66583047,-73.96455055,
Mowgli Removes a Thorn from a Wolf's Paw,40.6657971,-73.96456274,
Mowgli Learns the Law of the Jungle,40.66570252,-73.96442645,
Mowgli Skins the Tiger,40.66567843,-73.9644849,
The Waterhole in the Jungle,40.66571921,-73.96447514,
Sambur Attacked by Wolves,40.66566359,-73.96443865,
Mowgli Singes the Tiger,40.66574095,-73.96531172,
Mowgli Rides the Bull Against the Tiger,40.66541761,-73.96532264,
Mowgli and Animal Friends Attack the Monkey City,40.6652486,-73.96497,
Lioness and Cubs,40.66569291,-73.96462214,
Bound Hands Rising Free,40.72288517,-73.95273467,
Father Jerzy Popieluszko Monument,40.72312265,-73.95227976,
McCarren Park World War II Flagstaff,40.72295429,-73.95258399,
Colonel David Marcus Memorial Plaque,40.60994659,-73.9696431,
Colonel David Marcus Memorial Plaque,40.60998187,-73.969611,
William E. Kelly,40.60388759,-73.95760186,
Fort Hamilton War Memorial,40.61646769,-74.0307327,
John N. Lacorte Memorial,40.61086171,-74.03306701,
Verrazano Memorial Flagstaff,40.6148605,-74.02858967,
The Falconer,40.77407308,-73.97376308,
Lilac Walk,40.77197716,-73.97326375,
Christopher Columbus,40.7698669,-73.9727541,
William Shakespeare,40.76979417,-73.97225625,
Christopher Columbus,40.76994067,-73.97281592,
The Indian Hunter,40.77045508,-73.97318558,
Urns - Central Park Bandshell,40.77289625,-73.971657,
Urns - Central Park,40.7724265,-73.97174108,
Urns - Central Park,40.77235917,-73.9713675,
Knights of Pythias Memorial,40.77170833,-73.97079225,
Naumburg Bandshell,40.77279117,-73.97123708,
Urns - Central Park,40.7732895,-73.971477,
Urns - Central Park,40.77310783,-73.97105642,
Literary Walk Restoration Marker,40.77004175,-73.97265058,
Mary Harriman Rumsey,40.77243725,-73.96962308,
Three Hundred Seventh Infantry,40.77195192,-73.9709785,
Christopher Columbus,40.76994067,-73.97281592,
Fitz Greene Halleck,40.77067792,-73.97213333,
Memorial Grove,40.77191375,-73.97101658,
Olmsted Tablets,40.76962589,-73.97252167,
"Kilmer, Sergeant Joyce",40.77141167,-73.97274111,
"Drew, S. Rankin Marker",40.77360567,-73.97209689,
Christopher Columbus,40.7698669,-73.9727541,
City Employees War Memorial Flagpole,40.77332667,-73.97197333,
Eagles and Prey,40.772435,-73.97253167,
Mother Goose,40.77262834,-73.969649,
Sir Walter Scott,40.77016667,-73.97247,
Robert Burns,40.770205,-73.97251,
Ludwig von Beethoven,40.77296667,-73.97179667,
Johann Christoph Friedrch von Schiller,40.77311167,-73.97176333,
Victor Herbert,40.77269167,-73.97222167,
Eagles and Prey,40.772435,-73.97253167,
Snow Babies,40.7722541,-73.96981037,
The Rowers,40.77521189,-73.96854367,
Loeb Boathouse Plaque,40.77529778,-73.96861011,
Highbridge Water Tower,40.84254058,-73.93261829,
McNally Plaza Memorial,40.84803649,-73.92975782,
Riverside Drive Extension,40.821524,-73.95747417,
Ralph Ellison Memorial,40.83027405,-73.94977081,
Riverside Fountain,40.83446618,-73.9477784,
"Gordon, Charles and Murray Tablets",40.83444281,-73.94773308,
Baisley Pond Park Memorial,40.674763,-73.78737104,
Job,40.710416,-73.83487275,
Highland Park War Memorial,40.68358031,-73.88664716,
Morty Arkin Memorial Plaque,40.77594007,-73.92518353,
Peter Chapetto Flagstaff,40.77470166,-73.9222337,
Columbus Square Tablet,40.77012038,-73.91766207,
Christopher Columbus,40.77003239,-73.9174547,
Socrates,40.7678077,-73.92233666,
Doric Columns,40.76778408,-73.92227419,
Athena,40.76758088,-73.92250116,
Astoria Park War Memorial,40.77935472,-73.92333378,
Flight 587 Memorial Tree Grove Marker,40.78187442,-73.9197165,
Cespino-Russo Plaque,40.59003117,-74.06625275,
Fountain of the Dolphins,40.5902635,-74.06642783,
Lieutenant Vincent R. Capodanno Memorial,40.59007833,-74.06665708,
Ronald McNair,40.67054207,-73.96199614,
Joseph A. Guider Memorial,40.67008253,-73.96203047,
Ulysses Simpson Grant,40.6766832,-73.95276454,
Midland Beach War Memorial,40.57067233,-74.09011367,
Still Hunt,40.77679667,-73.96709,
Irving and Estelle Levy Playground Gate,40.77749975,-73.96386325,
Anna Hoffman Rosenberg Tree Marker,40.77728832,-73.96332692,
Group of Bears,40.77754,-73.96394333,
Pinetum,40.78277318,-73.96641229,
Arthur Brisbane,40.79159941,-73.95324972,
Samuel J. Tilden,40.8061964,-73.96752789,
Louis Kossuth,40.80675225,-73.96731768,
Jeffrey's Hook Lighthouse,40.85023875,-73.94695948,
John J. Downing Plaque,40.79396698,-73.92464916,
Discus Thrower,40.79644304,-73.91924381,
Brigadier General Winfield Scott Hancock,40.80951932,-73.95326853,
Blockhouse Plaque,40.80598361,-73.95905615,
Carl Schurz Memorial,40.80598361,-73.95905615,
Alfred Lincoln Seligman Fountain,40.80424133,-73.95873733,
Andrew Haswell Green Bench,40.79512551,-73.95427253,
Tulip Tree,40.87326844,-73.92371156,
Colonial Rose Garden Tablet,40.50235483,-74.25171683,
American Boy,40.84959138,-73.82326439,
Bronx Victory Memorial,40.85436801,-73.8231162,
Burnett Memorial Fountain,40.79316266,-73.95274812,
Conservatory Garden Fountain,40.79390248,-73.95282248,
Untermeyer Fountain,40.7942513,-73.9519519,
Dr. James Marion Sims,40.79240756,-73.95269342,
Michael Friedsam Memorial,40.76984175,-73.97514975,
August Heckscher Gate Posts,40.768989,-73.976618,
Concord World War II Memorial,40.60797158,-74.08961592,
Firefighters' Memorial,40.60796458,-74.08971017,
Gretta Moulton Gate,40.58469242,-74.1248725,
Rose and Crown Tavern,40.5756775,-74.12002308,
New Dorp World War I Memorial,40.57563233,-74.12012333,
Egbertville War Memorial,40.57622742,-74.12690467,
New Dorp World War II Memorial,40.573073,-74.114767,
Queens Village-Bellerose Memorial,40.7179838,-73.73603858,
Firemens Memorial,40.73009242,-74.00638225,
Carmine Street Pool Mural,40.72971333,-74.00584167,
Father Demo Square Lightpole,40.73024592,-74.00216568,
Civic Virtue,40.71420282,-73.82979034,
Richard S. Newcombe Tablet,40.71380592,-73.83044755,
Ilse Metzger Tablet,40.7163788,-73.83072716,
Anthony R. Gaeta Memorial,40.60998308,-74.1488155,
Isadora and Ida Straus,40.80175457,-73.96820782,
Woodside Memorial,40.74533237,-73.90480887,
Monsignor Joseph A. McCaffrey,40.75879667,-73.99153525,
Christopher Columbus,40.76806728,-73.98189988,
Christopher Columbus,40.76806728,-73.98189988,
Christopher Columbus Monument Fountain,40.76805128,-73.98190099,
George M. Cohan,40.75883364,-73.98509688,
Father Duffy,40.75909415,-73.98496184,
Father Duffy D.S.C. Post 54 Flagstaff,40.75903691,-73.98504913,
Timesculpture at Lincoln Center,40.772149,-73.98244525,
Dante Alighieri,40.77176271,-73.98256002,
Damrosch Park,40.771819,-73.98482817,
Revson Fountain,40.77235158,-73.983323,
Daniel and Florence Guggenheim Memorial Bandshell,40.77261558,-73.98550725,
"Tucker, Richard Bust",40.77353408,-73.98188471,
Kimlau War Memorial,40.71348657,-73.99812669,
Lin Ze Xu,40.71340627,-73.99815677,
Horace Greeley,40.71288858,-74.00494258,
Joseph Pulitzer,40.71286567,-74.00482833,
Canadian Burr Oak,40.71199033,-74.00639375,
Civil Engineers Plaque,40.71303842,-74.0046215,
Alfred E. Smith,40.71085018,-73.99728882,
Governor Alfred E. Smith Flagstaff,40.71105686,-73.99724241,
Antonio Meucci Memorial,40.595737,-73.98322223,
Hennessy Park World War I Flagstaff,40.57503773,-73.96884515,
"Soldier, Sailor, Marine Murals",40.73175564,-73.86554073,
Lieutenant Colonel George U. Harvey Memorial Plaque,40.73170844,-73.86565671,
Lost Battalion Hall Plaque,40.73168724,-73.86567392,
Philip Mazzei Flagstaff,40.86248464,-73.85831397,
Seventh Draft Board Memorial,40.88440702,-73.86622255,
Tree of Hope III,40.81291068,-73.94545413,
Hansborough Natatorium,40.81397344,-73.94224449,
John Hansborough Jr. Sign,40.81415896,-73.94259049,
McCray Memorial,40.8155836,-73.93776515,
"Bill ""Bojangles"" Robinson Mural",40.8252844,-73.93728494,
Frederick Johnson Memorial,40.82487452,-73.93623319,
Frederick E. Samuel Memorial,40.82477762,-73.93552654,
Broad Channel Memorial Park Plaque,40.61047304,-73.81881963,
Happy Land Memorial,40.84297413,-73.88541905,
Garibaldi Marker,40.60924111,-73.99996812,
Milestone Park Tablet,40.6095883,-73.9996034,
"Riverdale, Spuyten Duyvil and Kingsbridge World War I Mem.",40.88924344,-73.90834672,
Vietnam Veterans Triangle,40.74552572,-73.8891224,
Cobble Hill Historic District Plaque,40.68809322,-73.995614,
Genevieve Beavers Earle Flagstaff,40.69581012,-73.99802501,
Four Chimneys,40.69576276,-73.99784466,
Zion Park War Memorial,40.66875122,-73.91850117,
Fountain,40.69339243,-73.99021117,
Christopher Columbus,40.69391459,-73.98991829,
Christopher Columbus Plaque,40.69391192,-73.98997296,
John F. Kennedy Memorial Tree,40.69365813,-73.98986046,
John E. Klein Tree Marker,40.69366036,-73.9899528,
Arthur H. Bernstein Tree Marker,40.69363228,-73.99003364,
Washington A. Roebling Memorial,40.69361449,-73.98989458,
John Cashmore Marker,40.69352007,-73.98969157,
Robert F. Kennedy Memorial,40.69356133,-73.990033,
Henry Ward Beecher Monument,40.69487043,-73.9901111,
McLaughlin Park World War I Memorial,40.69626086,-73.98501356,
Brooklyn War Memorial,40.69843071,-73.99061123,
Brooklyn Korean War Veterans Plaza,40.69588559,-73.99065137,
Annadale Memorial,40.54128225,-74.17771025,
Flanders Field Flagstaff,40.74878973,-73.86169755,
Lafayette and Washington,40.80368972,-73.95801187,
Coleman Square,40.65990363,-73.83033117,
Catholic War Veterans Square,40.67591248,-73.8162328,
Judge Frank D. Paulo Memorial,40.64286708,-74.07628442,
