title,latitude,longitude,description
McDonalds,40.72643091,-73.9858102,27 3rd Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.72961797,-73.98949695,405 6th Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73373558,-73.99990618,541 6th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73790757,-73.99683895,154 West 14th Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73817385,-73.99954893,404 East 14th Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73080833,-73.98243207,39 Union Square West<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73705362,-73.99074431,686 6th Ave<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.74189827,-73.9931723,336 East 23rd Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73704396,-73.97964469,809-811 6th Avenue<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.74604269,-73.99093072,401 Park Avenue South<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.74295406,-73.98377494,335 8th Avenue<br>http://www.mcdonalds.com/wireless.html
Queens Library - South Jamaica,40.74766791,-73.99739428,108-41 Guy R. Brewer Boulevard<br>http://www.queenslibrary.org/
Queens Library - South Ozone Park,40.69554154,-73.79022814,128-16 Rockaway Boulevard<br>http://www.queenslibrary.org/
Queens Library - St. Albans,40.67477726,-73.80926182,191-05 Linden Boulevard<br>http://www.queenslibrary.org/
Queens Library - Sunnyside,40.69252839,-73.76010879,43-06 Greenpoint Avenue<br>http://www.queenslibrary.org/
Queens Library - Whitestone,40.74080911,-73.92166916,151-10 14 Road<br>http://www.queenslibrary.org/
St. George-Staten Island Ferry Terminal,40.78853178,-73.81071656,1 Bay St<br>http://www.nyc.gov/html/dot/html/ferrybus/statfery.shtml
St. John's University Loretto Memorial Library,40.64403284,-74.07253699,300 Howard Avenue<br>http://www.stjohns.edu/academics/libraries/services/mobile_computing
NYC Public Library - 67th Street Branch,40.62213111,-74.08961305,328 East 67th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - 115th Street,40.76491431,-73.95955032,203 West 115th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - 125th Street,40.8029815,-73.95353121,224 East 125th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Aguilar,40.80301911,-73.93484613,174 East 110th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Chatham Square,40.79418564,-73.94346473,33 East Broadway<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Countee Cullen,40.71333374,-73.99649022,104 West 136th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Fort Washington,40.81475074,-73.94121462,535 West 179th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - George Bruce,40.84786997,-73.93386605,518 West 125th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hamilton Fish Park,40.81377512,-73.95706404,415 East Houston Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hamilton Grange,40.71939791,-73.97960679,503 West 145th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Harlem,40.82568622,-73.94801958,9 West 124th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Hudson Park,40.80618551,-73.94330282,66 Leroy Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Inwood,40.72989555,-74.00532912,4790 Broadway<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Jefferson Market,40.86573036,-73.92585455,425 Avenue of Americas<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Macomb's Bridge,40.73460567,-73.99917009,2650 Adam Clayton Powell Jr Blvd.<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Mid-Manhattan Library,40.82658319,-73.93600461,455 Fifth Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - New Amsterdam,40.75178083,-73.98150618,9 Murray Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Ottendorfer,40.71360801,-74.00786006,135 2nd Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Roosevelt Island,40.72892064,-73.98778325,524 Main Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Schomburg Ctr for Research in Black Culture,40.76125463,-73.95016714,515 Malcolm X Boulevard<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Seward Park,40.81466552,-73.94094375,192 East Broadway<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Tompkins Square,40.71445584,-73.98853621,331 East 10th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Washington Heights,40.72730844,-73.98040894,1000 Saint Nicholas Avenue<br>http://www.nypl.org/branch/services/wifi.html
Activebeauty,40.83451465,-73.93967577,Broadway<br>http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-Active-Beauty-com-1083578.htm
Bowling Green Park,40.72365408,-73.99827911,Broadway and Whitehall<br>http://www.downtownny.com/wireless.asp
